Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
Q9Y4E8	Q9Y4E8;Q9Y4E8-2;Q9Y4E8-3;Q9Y4E8-4	UBP15_HUMAN	USP15	Ubiquitin carboxyl-terminal hydrolase 15	1.30493e+06
Q9Y4F1;Q9Y4F1-2	Q9Y4F1;Q9Y4F1-2	FARP1_HUMAN	FARP1	FERM, ARHGEF and pleckstrin domain-containing protein 1	141569
Q9Y4F3;Q9Y4F3-3;Q9Y4F3-4;Q9Y4F3-5	Q9Y4F3;Q9Y4F3-3;Q9Y4F3-4;Q9Y4F3-5	MARF1_HUMAN	MARF1	Meiosis regulator and mRNA stability factor 1	398113
Q9Y4F5;Q9Y4F5-2;Q9Y4F5-3	Q9Y4F5;Q9Y4F5-2;Q9Y4F5-3	C170B_HUMAN	CEP170B	Centrosomal protein of 170 kDa protein B	75014
Q9Y4F9;Q9Y4F9-2	Q9Y4F9;Q9Y4F9-2	RIPR2_HUMAN	RIPOR2	Rho family-interacting cell polarization regulator 2	2.55202e+06
Q9Y4G2	Q9Y4G2	PKHM1_HUMAN	PLEKHM1	Pleckstrin homology domain-containing family M member 1	26706
Q9Y4G6	Q9Y4G6	TLN2_HUMAN	TLN2	Talin-2	990885
Q9Y4G8	Q9Y4G8	RPGF2_HUMAN	RAPGEF2	Rap guanine nucleotide exchange factor 2	101509
Q9Y4H2	Q9Y4H2	IRS2_HUMAN	IRS2	Insulin receptor substrate 2	559951
Q9Y4I1;Q9Y4I1-2;Q9Y4I1-3	Q9Y4I1;Q9Y4I1-2;Q9Y4I1-3	MYO5A_HUMAN	MYO5A	Unconventional myosin-Va	218963
Q9Y4K0	Q9Y4K0	LOXL2_HUMAN	LOXL2	Lysyl oxidase homolog 2	50634
Q9Y4K1	Q9Y4K1	CRBG1_HUMAN	CRYBG1	Beta/gamma crystallin domain-containing protein 1	154484
Q9Y4K3	Q9Y4K3	TRAF6_HUMAN	TRAF6	TNF receptor-associated factor 6	23484
Q9Y4K4	Q9Y4K4	M4K5_HUMAN	MAP4K5	Mitogen-activated protein kinase kinase kinase kinase 5	194648
Q9Y4L1	Q9Y4L1;Q9Y4L1-2	HYOU1_HUMAN	HYOU1	Hypoxia up-regulated protein 1	1.18586e+07
Q9Y4P1;Q9Y4P1-2;Q9Y4P1-6	Q9Y4P1;Q9Y4P1-2;Q9Y4P1-3;Q9Y4P1-4;Q9Y4P1-6	ATG4B_HUMAN	ATG4B	Cysteine protease ATG4B	196652
Q9Y4P3	Q9Y4P3	TBL2_HUMAN	TBL2	Transducin beta-like protein 2	1.08533e+06
Q9Y4P8;Q9Y4P8-2;Q9Y4P8-4;Q9Y4P8-6	Q9Y4P8;Q9Y4P8-2;Q9Y4P8-3;Q9Y4P8-4;Q9Y4P8-5;Q9Y4P8-6	WIPI2_HUMAN	WIPI2	WD repeat domain phosphoinositide-interacting protein 2	236547
Q9Y4R8	Q9Y4R8	TELO2_HUMAN	TELO2	Telomere length regulation protein TEL2 homolog	677709
Q9Y4W2;Q9Y4W2-2	Q9Y4W2;Q9Y4W2-2;Q9Y4W2-3	LAS1L_HUMAN	LAS1L	Ribosomal biogenesis protein LAS1L	1.70729e+06
Q9Y4W6	Q9Y4W6	AFG32_HUMAN	AFG3L2	AFG3-like protein 2	2.49519e+06
Q9Y4X0;Q9Y4X0-3;Q9Y4X0-4	Q9Y4X0;Q9Y4X0-3;Q9Y4X0-4	AMMR1_HUMAN	AMMECR1	AMME syndrome candidate gene 1 protein	41177
Q9Y4X5	Q9Y4X5	ARI1_HUMAN	ARIH1	E3 ubiquitin-protein ligase ARIH1	1.17634e+06
Q9Y4Y9	Q9Y4Y9;Q9Y4Y9-2	LSM5_HUMAN	LSM5	U6 snRNA-associated Sm-like protein LSm5	497320
Q9Y4Z0	Q9Y4Z0	LSM4_HUMAN	LSM4	U6 snRNA-associated Sm-like protein LSm4	1.22042e+06
Q9Y508	Q9Y508;Q9Y508-2	RN114_HUMAN	RNF114	E3 ubiquitin-protein ligase RNF114	368058
