Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
Q9BWM7;Q9H9B4	Q9BWM7;Q9H9B4	SFXN1_HUMAN;SFXN3_HUMAN	SFXN1;SFXN3	Sideroflexin-3	34426
Q9BWQ6	Q9BWQ6	YIPF2_HUMAN	YIPF2	Protein YIPF2	29922
Q9BWS9;Q9BWS9-3	Q9BWS9;Q9BWS9-3	CHID1_HUMAN	CHID1	Chitinase domain-containing protein 1	48082
Q9BWT3;Q9BWT3-2	Q9BWT3;Q9BWT3-2	PAPOG_HUMAN	PAPOLG	Poly(A) polymerase gamma	23994
Q9BWT6	Q9BWT6	MND1_HUMAN	MND1	Meiotic nuclear division protein 1 homolog	35291
Q9BWU0	Q9BWU0	NADAP_HUMAN	SLC4A1AP	Kanadaptin	54593
Q9BWW4;Q9BWW4-2;Q9BWW4-3	Q9BWW4;Q9BWW4-2;Q9BWW4-3	SSBP3_HUMAN	SSBP3	Single-stranded DNA-binding protein 3	50468
Q9BX10;Q9BX10-4	Q9BX10;Q9BX10-2;Q9BX10-4	GTPB2_HUMAN	GTPBP2	GTP-binding protein 2	73626
Q9BX40	Q9BX40;Q9BX40-2	LS14B_HUMAN	LSM14B	Protein LSM14 homolog B	80137
Q9BX63	Q9BX63;Q9BX63-2	FANCJ_HUMAN	BRIP1	Fanconi anemia group J protein	71168
Q9BX68	Q9BX68	HINT2_HUMAN	HINT2	Histidine triad nucleotide-binding protein 2, mitochondrial	399743
Q9BX69	Q9BX69	CARD6_HUMAN	CARD6	Caspase recruitment domain-containing protein 6	294094
Q9BX70	Q9BX70	BTBD2_HUMAN	BTBD2	BTB/POZ domain-containing protein 2	12315
Q9BX95	Q9BX95	SGPP1_HUMAN	SGPP1	Sphingosine-1-phosphate phosphatase 1	173113
Q9BXA9;Q9BXA9-2;Q9BXA9-3;Q9BXA9-4;Q9NSC2;Q9NSC2-2	Q9NSC2;Q9NSC2-2;Q9BXA9;Q9BXA9-2;Q9BXA9-3;Q9BXA9-4	SALL1_HUMAN;SALL3_HUMAN	SALL1;SALL3	Sal-like protein 3	1433
Q9BXB4	Q9BXB4	OSB11_HUMAN	OSBPL11	Oxysterol-binding protein-related protein 11	83881
Q9BXB4;Q9BXB5	Q9BXB5;Q9BXB5-2;Q9BXB4	OSB10_HUMAN;OSB11_HUMAN	OSBPL10;OSBPL11	Oxysterol-binding protein-related protein 11	138255
Q9BXB5	Q9BXB5;Q9BXB5-2	OSB10_HUMAN	OSBPL10	Oxysterol-binding protein-related protein 10	52867
Q9BXB7	Q9BXB7	SPT16_HUMAN	SPATA16	Spermatogenesis-associated protein 16	69366
Q9BXF6	Q9BXF6	RFIP5_HUMAN	RAB11FIP5	Rab11 family-interacting protein 5	97121
Q9BXJ8;Q9BXJ8-2	Q9BXJ8;Q9BXJ8-2	T120A_HUMAN	TMEM120A	Transmembrane protein 120A	31826
Q9BXJ9	Q9BXJ9;Q9BXJ9-4	NAA15_HUMAN	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit	323849
Q9BXK1	Q9BXK1	KLF16_HUMAN	KLF16	Krueppel-like factor 16	21357
Q9BXK5	Q9BXK5;Q9BXK5-2	B2L13_HUMAN	BCL2L13	Bcl-2-like protein 13	56785
Q9BXL7;Q9H257;Q9H257-2;Q9H257-3	Q9H257;Q9H257-2;Q9H257-3;Q9BXL7	CAR11_HUMAN;CARD9_HUMAN	CARD11;CARD9	Caspase recruitment domain-containing protein 11	123297
Q9BXP2	Q9BXP2	S12A9_HUMAN	SLC12A9	Solute carrier family 12 member 9	33217
Q9BXP5;Q9BXP5-2;Q9BXP5-3;Q9BXP5-4	Q9BXP5;Q9BXP5-2;Q9BXP5-3;Q9BXP5-4;Q9BXP5-5	SRRT_HUMAN	SRRT	Serrate RNA effector molecule homolog	426315
Q9BXR0	Q9BXR0	TGT_HUMAN	QTRT1	Queuine tRNA-ribosyltransferase catalytic subunit 1	139029
Q9BXS4	Q9BXS4	TMM59_HUMAN	TMEM59	Transmembrane protein 59	15876
Q9BXS5;Q9BXS5-2	Q9BXS5;Q9BXS5-2	AP1M1_HUMAN	AP1M1	AP-1 complex subunit mu-1	255761
Q9BXS6;Q9BXS6-2	Q9BXS6;Q9BXS6-2;Q9BXS6-7	NUSAP_HUMAN	NUSAP1	Nucleolar and spindle-associated protein 1	76784
