Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
P31321	P31321	KAP1_HUMAN	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit	64940
P31327;P31327-3	P31327;P31327-2;P31327-3	CPSM_HUMAN	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	4.07383e+06
P31350;P31350-2	P31350;P31350-2	RIR2_HUMAN	RRM2	Ribonucleoside-diphosphate reductase subunit M2	461375
P31350;P31350-2;Q7LG56;Q7LG56-6	Q7LG56;Q7LG56-2;Q7LG56-6;P31350;P31350-2	RIR2B_HUMAN;RIR2_HUMAN	RRM2;RRM2B	Ribonucleoside-diphosphate reductase subunit M2	99215
P31431;P31431-2	P31431;P31431-2	SDC4_HUMAN	SDC4	Syndecan-4	116376
P31483	P31483;P31483-2;P31483-3	TIA1_HUMAN	TIA1	Nucleolysin TIA-1 isoform p40	95008
P31483;Q01085	P31483;P31483-2;P31483-3;Q01085;Q01085-2	TIA1_HUMAN;TIAR_HUMAN	TIA1;TIAL1	Nucleolysin TIA-1 isoform p40	260578
P31629	P31629	ZEP2_HUMAN	HIVEP2	Transcription factor HIVEP2	529688
P31641	P31641	SC6A6_HUMAN	SLC6A6	Sodium- and chloride-dependent taurine transporter	62889
P31689	P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1	326142
P31749	P31749;P31749-2	AKT1_HUMAN	AKT1	RAC-alpha serine/threonine-protein kinase	122412
P31749;P31751	P31749;P31749-2;Q9Y243;Q9Y243-2;P31751	AKT1_HUMAN;AKT2_HUMAN	AKT1;AKT2	RAC-alpha serine/threonine-protein kinase	75368
P31751	P31751;P31751-2	AKT2_HUMAN	AKT2	RAC-beta serine/threonine-protein kinase	64631
P31930	P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	518108
P31937	P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	251940
P31939;P31939-2	P31939;P31939-2	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein PURH	815415
P31942;P31942-2	P31942;P31942-2;P31942-3;P31942-4	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	825064
P31942;P31942-2;P31943;P52597;P55795	P55795;P52597;P31943;P31942;P31942-2;P31942-3	HNRH1_HUMAN;HNRH2_HUMAN;HNRH3_HUMAN;HNRPF_HUMAN	HNRNPF;HNRNPH1;HNRNPH2;HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	392370
P31943	P31943	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	4.68715e+06
P31943;P52597	P52597;P31943	HNRH1_HUMAN;HNRPF_HUMAN	HNRNPF;HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	1.47191e+06
P31943;P52597;P55795	P55795;P52597;P31943	HNRH1_HUMAN;HNRH2_HUMAN;HNRPF_HUMAN	HNRNPF;HNRNPH1;HNRNPH2	Heterogeneous nuclear ribonucleoprotein H	3.73043e+06
P31943;P55795	P55795;P31943;Q9NQA5;Reverse_sp|Q9NYZ3|GTSE1_HUMAN	HNRH1_HUMAN;HNRH2_HUMAN	HNRNPH1;HNRNPH2	Heterogeneous nuclear ribonucleoprotein H	2.10679e+06
P31946;P31946-2	P31946;P31946-2	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	3.55725e+06
P31946;P31946-2;P61981	P61981;P31946;P31946-2	1433B_HUMAN;1433G_HUMAN	YWHAB;YWHAG	14-3-3 protein beta/alpha	457839
P31947	P31947;P31947-2	1433S_HUMAN	SFN	14-3-3 protein sigma	1.21438e+06
P31948;P31948-2	P31948;P31948-2	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	2.60472e+06
P31949	P31949	S10AB_HUMAN	S100A11	Protein S100-A11	3.26863e+06
P32004;P32004-2;P32004-3	P32004;P32004-2;P32004-3	L1CAM_HUMAN	L1CAM	Neural cell adhesion molecule L1	222124
P32019;P32019-2;P32019-4	P32019;P32019-2;P32019-3;P32019-4	I5P2_HUMAN	INPP5B	Type II inositol 1,4,5-trisphosphate 5-phosphatase	108448
P32119	P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	665893
P32119;Q06830	Q06830;P32119	PRDX1_HUMAN;PRDX2_HUMAN	PRDX1;PRDX2	Peroxiredoxin-2	4.33493e+06
P32121;P32121-2;P32121-3;P32121-4;P32121-5	P32121;P32121-3;P32121-2;P32121-4;P32121-5	ARRB2_HUMAN	ARRB2	Beta-arrestin-2	52075
P32189;P32189-1;P32189-2;P32189-4;Q14409	P32189;P32189-1;P32189-2;P32189-4;Q14409	GLPK3_HUMAN;GLPK_HUMAN	GK;GK3P	Glycerol kinase	145379
P32314;P32314-2	P32314;P32314-2	FOXN2_HUMAN	FOXN2	Forkhead box protein N2	2.346e+06
P32321;P32321-2	P32321;P32321-2	DCTD_HUMAN	DCTD	Deoxycytidylate deaminase	55647
P32322;P32322-3	P32322;P32322-2;P32322-3	P5CR1_HUMAN	PYCR1	Pyrroline-5-carboxylate reductase 1, mitochondrial	208567
P32455	P32455	GBP1_HUMAN	GBP1	Guanylate-binding protein 1	124114
P32455;P32456	P32456;P32455	GBP1_HUMAN;GBP2_HUMAN	GBP1;GBP2	Guanylate-binding protein 1	21719
P32456	P32456	GBP2_HUMAN	GBP2	Guanylate-binding protein 2	256067
P32519;P32519-2	P32519;P32519-2	ELF1_HUMAN	ELF1	ETS-related transcription factor Elf-1	17050
P32856;P32856-2;P32856-3	P32856;P32856-2;P32856-3	STX2_HUMAN	STX2	Syntaxin-2	31436
P32929	P32929;P32929-2;P32929-3	CGL_HUMAN	CTH	Cystathionine gamma-lyase	105793
P32969	P32969	RL9_HUMAN	RPL9	60S ribosomal protein L9	2.47408e+06
P33121;P33121-2;P33121-3	P33121;P33121-2;P33121-3	ACSL1_HUMAN	ACSL1	Long-chain-fatty-acid--CoA ligase 1	36255
P33121;P33121-2;P33121-3;Q9ULC5;Q9ULC5-3	P33121;P33121-2;P33121-3;Q9ULC5;Q9ULC5-3;Q9ULC5-4	ACSL1_HUMAN;ACSL5_HUMAN	ACSL1;ACSL5	Long-chain-fatty-acid--CoA ligase 1	36920
P33176	P33176	KINH_HUMAN	KIF5B	Kinesin-1 heavy chain	431149
P33240;P33240-2	P33240;P33240-2	CSTF2_HUMAN	CSTF2	Cleavage stimulation factor subunit 2	319434
P33240;P33240-2;Q9H0L4	Q9H0L4;P33240;P33240-2	CSTF2_HUMAN;CSTFT_HUMAN	CSTF2;CSTF2T	Cleavage stimulation factor subunit 2	268529
P33316	P33316;P33316-2	DUT_HUMAN	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	1.25852e+06
P33527	P33527;P33527-2;P33527-3;P33527-4;P33527-5;P33527-6;P33527-7;P33527-8	MRP1_HUMAN	ABCC1	Multidrug resistance-associated protein 1	142998
P33552	P33552	CKS2_HUMAN	CKS2	Cyclin-dependent kinases regulatory subunit 2	88361
P33897	P33897	ABCD1_HUMAN	ABCD1	ATP-binding cassette sub-family D member 1	190122
P33908	P33908;P33908-2	MA1A1_HUMAN	MAN1A1	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	481119
P33981;P33981-2	P33981;P33981-2	TTK_HUMAN	TTK	Dual specificity protein kinase TTK	365634
P33991	P33991	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4	679137
P33992	P33992	MCM5_HUMAN	MCM5	DNA replication licensing factor MCM5	1.18603e+06
P33993	P33993;P33993-2	MCM7_HUMAN	MCM7	DNA replication licensing factor MCM7	652161
P34059	P34059	GALNS_HUMAN	GALNS	N-acetylgalactosamine-6-sulfatase	58302
P34896;P34896-2	P34896;P34896-2;P34896-3	GLYC_HUMAN	SHMT1	Serine hydroxymethyltransferase, cytosolic	212729
P34896;P34896-2;P34897;P34897-3	P34896;P34896-2;P34896-3;P34896-4;P34897;P34897-2;P34897-3	GLYC_HUMAN;GLYM_HUMAN	SHMT1;SHMT2	Serine hydroxymethyltransferase, cytosolic	478828
P34897;P34897-3	P34897;P34897-2;P34897-3	GLYM_HUMAN	SHMT2	Serine hydroxymethyltransferase, mitochondrial	1.80551e+06
P34913;P34913-2;P34913-3	P34913;P34913-2;P34913-3	HYES_HUMAN	EPHX2	Bifunctional epoxide hydrolase 2	66939
P34931	P34931;P0DMV8;P0DMV8-2;P0DMV9	HS71L_HUMAN	HSPA1L	Heat shock 70 kDa protein 1-like	2.22114e+06
P34932	P34932	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4	830154
P34932;Q92598;Q92598-2	Q92598;Q92598-2;Q92598-3;Q92598-4;P34932	HS105_HUMAN;HSP74_HUMAN	HSPA4;HSPH1	Heat shock 70 kDa protein 4	134423
P34947	P34947	GRK5_HUMAN	GRK5	G protein-coupled receptor kinase 5	37069
P34949	P34949	MPI_HUMAN	MPI	Mannose-6-phosphate isomerase	151237
P35052	P35052	GPC1_HUMAN	GPC1	Glypican-1	156862
P35080	P35080;P35080-2	PROF2_HUMAN	PFN2	Profilin-2	303909
P35221;P35221-2	P35221;P35221-2;P35221-3	CTNA1_HUMAN	CTNNA1	Catenin alpha-1	236499
P35222	P35222	CTNB1_HUMAN	CTNNB1	Catenin beta-1	94590
P35226	P35226	BMI1_HUMAN	BMI1	Polycomb complex protein BMI-1	19676
P35232	P35232;P35232-2	PHB_HUMAN	PHB	Prohibitin	2.38568e+06
P35237	P35237	SPB6_HUMAN	SERPINB6	Serpin B6	1.50813e+06
P35237;P50452	P50452;P50452-2;P35237	SPB6_HUMAN;SPB8_HUMAN	SERPINB6;SERPINB8	Serpin B6	625974
P35240;P35240-2;P35240-3;P35240-5;P35240-8	P35240;P35240-2;P35240-3;P35240-4;P35240-5;P35240-6;P35240-8	MERL_HUMAN	NF2	Merlin	97266
P35241	P35241;P35241-2;P35241-3;P35241-4;P35241-5	RADI_HUMAN	RDX	Radixin	559070
P35244	P35244	RFA3_HUMAN	RPA3	Replication protein A 14 kDa subunit	405153
P35249	P35249	RFC4_HUMAN	RFC4	Replication factor C subunit 4	210341
P35250	P35250;P35250-2	RFC2_HUMAN	RFC2	Replication factor C subunit 2	469250
P35251;P35251-2	P35251;P35251-2	RFC1_HUMAN	RFC1	Replication factor C subunit 1	95988
P35268	P35268	RL22_HUMAN	RPL22	60S ribosomal protein L22	2.99537e+06
P35269	P35269	T2FA_HUMAN	GTF2F1	General transcription factor IIF subunit 1	272988
P35270	P35270	SPRE_HUMAN	SPR	Sepiapterin reductase	352055
P35354	P35354	PGH2_HUMAN	PTGS2	Prostaglandin G/H synthase 2	186442
P35443;P49747;P49747-2	P49747;P49747-2;P35443	COMP_HUMAN;TSP4_HUMAN	COMP;THBS4	Thrombospondin-4	67560
P35527	P35527;contaminant_KERATIN02	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	87359
P35573	P35573;P35573-2;P35573-3	GDE_HUMAN	AGL	Glycogen debranching enzyme	134948
P35579	P35579;P35579-2	MYH9_HUMAN	MYH9	Myosin-9	1.30557e+06
P35579;P35580;P35580-2;P35580-3;P35580-4;P35580-5	P35579;P35580;P35580-2;P35580-3;P35580-4;P35580-5	MYH10_HUMAN;MYH9_HUMAN	MYH10;MYH9	Myosin-9	1.04334e+06
P35579;P35580;P35580-2;P35580-3;P35580-4;P35580-5;P35749;P35749-2;P35749-3;P35749-4	P35749;P35749-2;P35749-3;P35749-4;P35579;P35579-2;P35580;P35580-2;P35580-3;P35580-4;P35580-5	MYH10_HUMAN;MYH11_HUMAN;MYH9_HUMAN	MYH10;MYH11;MYH9	Myosin-9	188215
P35579;P35580;P35580-2;P35580-3;P35580-4;P35580-5;P35749;P35749-2;P35749-3;P35749-4;Q7Z406;Q7Z406-2;Q7Z406-6	P35749;P35749-2;P35749-3;P35749-4;Q7Z406;Q7Z406-2;Q7Z406-4;Q7Z406-5;Q7Z406-6;P35579;P35579-2;P35580;P35580-2;P35580-3;P35580-4;P35580-5	MYH10_HUMAN;MYH11_HUMAN;MYH14_HUMAN;MYH9_HUMAN	MYH10;MYH11;MYH14;MYH9	Myosin-9	818604
P35579;P35749;P35749-2;P35749-3;P35749-4	P35749;P35749-2;P35749-3;P35749-4;P35579;P35579-2	MYH11_HUMAN;MYH9_HUMAN	MYH11;MYH9	Myosin-9	663918
P35579;P35749;P35749-2;P35749-3;P35749-4;Q7Z406;Q7Z406-2;Q7Z406-6	P35749;P35749-2;P35749-3;P35749-4;Q7Z406;Q7Z406-2;Q7Z406-4;Q7Z406-5;Q7Z406-6;P35579;P35579-2	MYH11_HUMAN;MYH14_HUMAN;MYH9_HUMAN	MYH11;MYH14;MYH9	Myosin-9	451821
P35580;P35580-2;P35580-3;P35580-4;P35580-5	P35580;P35580-2;P35580-3;P35580-4;P35580-5	MYH10_HUMAN	MYH10	Myosin-10	98452
P35580;P35580-2;P35580-3;P35580-4;P35580-5;P35749;P35749-2;P35749-3;P35749-4	P35749;P35749-2;P35749-3;P35749-4;P35580;P35580-2;P35580-3;P35580-4;P35580-5	MYH10_HUMAN;MYH11_HUMAN	MYH10;MYH11	Myosin-10	254689
P35580;P35580-2;P35580-3;P35580-4;P35580-5;Q9HCH5;Q9HCH5-13;Q9HCH5-14;Q9HCH5-15;Q9HCH5-6	P35580;P35580-2;P35580-3;P35580-4;P35580-5;Q9HCH5;Q9HCH5-2;Q9HCH5-4;Q9HCH5-6;Q9HCH5-7;Q9HCH5-8;Q9HCH5-9;Q9HCH5-11;Q9HCH5-12;Q9HCH5-13;Q9HCH5-14;Q9HCH5-15	MYH10_HUMAN;SYTL2_HUMAN	MYH10;SYTL2	Myosin-10	130932
P35590	P35590	TIE1_HUMAN	TIE1	Tyrosine-protein kinase receptor Tie-1	990215
P35606;P35606-2	P35606;P35606-2	COPB2_HUMAN	COPB2	Coatomer subunit beta'	536966
P35609;P35609-2	P35609;P35609-2	ACTN2_HUMAN	ACTN2	Alpha-actinin-2	3.24566e+06
P35609;P35609-2;Q08043	P35609;P35609-2;Q08043	ACTN2_HUMAN;ACTN3_HUMAN	ACTN2;ACTN3	Alpha-actinin-2	84792
P35610	P35610;P35610-2;P35610-3	SOAT1_HUMAN	SOAT1	Sterol O-acyltransferase 1	315024
P35611;P35611-2;P35611-3;P35611-4;P35611-6	P35611;P35611-2;P35611-3;P35611-4;P35611-5;P35611-6	ADDA_HUMAN	ADD1	Alpha-adducin	46173
P35612;P35612-2;P35612-3;P35612-4;P35612-9	P35612;P35612-2;P35612-3;P35612-4;P35612-8;P35612-9	ADDB_HUMAN	ADD2	Beta-adducin	31487
P35613;P35613-2	P35613;P35613-2;P35613-3;P35613-4	BASI_HUMAN	BSG	Basigin	1.25518e+06
P35625	P35625	TIMP3_HUMAN	TIMP3	Metalloproteinase inhibitor 3	67196
P35637;P35637-2	P35637;P35637-2	FUS_HUMAN	FUS	RNA-binding protein FUS	938086
P35637;P35637-2;Q92804;Q92804-2	P35637;P35637-2;Q92804;Q92804-2	FUS_HUMAN;RBP56_HUMAN	FUS;TAF15	RNA-binding protein FUS	1.72806e+06
P35638;P35638-2	P35638;P35638-2	DDIT3_HUMAN	DDIT3	DNA damage-inducible transcript 3 protein	38445
P35658;P35658-2;P35658-3;P35658-4	P35658;P35658-2;P35658-3;P35658-4;P35658-5	NU214_HUMAN	NUP214	Nuclear pore complex protein Nup214	250764
P35659	P35659;P35659-2	DEK_HUMAN	DEK	Protein DEK	1.21865e+06
P35711;P35711-2;P35711-3;P35711-4;P35711-5;P35712;P35712-2;P35712-3;P35712-4	P35711;P35711-2;P35711-3;P35711-4;P35711-5;P35712;P35712-2;P35712-3;P35712-4	SOX5_HUMAN;SOX6_HUMAN	SOX5;SOX6	Transcription factor SOX-5	42124
P35749;P35749-2;P35749-3;P35749-4	P35749;P35749-2;P35749-3;P35749-4	MYH11_HUMAN	MYH11	Myosin-11	189396
P35754	P35754	GLRX1_HUMAN	GLRX	Glutaredoxin-1	584455
P35790;P35790-2	P35790;P35790-2	CHKA_HUMAN	CHKA	Choline kinase alpha	33753
P35813;P35813-3	P35813;P35813-3	PPM1A_HUMAN	PPM1A	Protein phosphatase 1A	50190
P35869	P35869	AHR_HUMAN	AHR	Aryl hydrocarbon receptor	30272
P35914	P35914;P35914-2;P35914-3	HMGCL_HUMAN	HMGCL	Hydroxymethylglutaryl-CoA lyase, mitochondrial	60346
P35998	P35998;P35998-2	PRS7_HUMAN	PSMC2	26S proteasome regulatory subunit 7	427409
P36402;P36402-2	P36402;P36402-2;P36402-3;P36402-4;P36402-9;P36402-10;P36402-11;P36402-12;P36402-13;P36402-14;P36402-15;P36402-16;P36402-5;P36402-6;P36402-7;P36402-8	TCF7_HUMAN	TCF7	Transcription factor 7	136893
P36404	P36404	ARL2_HUMAN	ARL2	ADP-ribosylation factor-like protein 2	308655
P36405	P36405	ARL3_HUMAN	ARL3	ADP-ribosylation factor-like protein 3	251983
P36406;P36406-2;P36406-3	P36406;P36406-2;P36406-3	TRI23_HUMAN	TRIM23	E3 ubiquitin-protein ligase TRIM23	77955
P36507	P36507	MP2K2_HUMAN	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	252650
P36507;Q02750	Q02750;Q02750-2;P36507	MP2K1_HUMAN;MP2K2_HUMAN	MAP2K1;MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	319324
P36542	P36542;P36542-2	ATPG_HUMAN	ATP5F1C	ATP synthase subunit gamma, mitochondrial	748729
P36543	P36543;P36543-2;P36543-3	VATE1_HUMAN	ATP6V1E1	V-type proton ATPase subunit E 1	268408
P36551	P36551	HEM6_HUMAN	CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial	125355
P36578	P36578	RL4_HUMAN	RPL4	60S ribosomal protein L4	3.62463e+06
P36639;P36639-2;P36639-3;P36639-4	P36639;P36639-2;P36639-3;P36639-4	8ODP_HUMAN	NUDT1	7,8-dihydro-8-oxoguanine triphosphatase	71922
P36776;P36776-2	P36776;P36776-2;P36776-3	LONM_HUMAN	LONP1	Lon protease homolog, mitochondrial	593061
P36871	P36871;P36871-2;P36871-3	PGM1_HUMAN	PGM1	Phosphoglucomutase-1	899991
P36873;P36873-2	P36873;P36873-2	PP1G_HUMAN	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	254574
P36873;P36873-2;P62136	P62136;P62136-2;P62136-3;P36873;P36873-2	PP1A_HUMAN;PP1G_HUMAN	PPP1CA;PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	99550
P36873;P36873-2;P62136;P62140	P62140;P62136;P62136-2;P62136-3;P36873;P36873-2	PP1A_HUMAN;PP1B_HUMAN;PP1G_HUMAN	PPP1CA;PPP1CB;PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit	1.39685e+06
P36897;P36897-2;P36897-3	P36897;P36897-2;P36897-3	TGFR1_HUMAN	TGFBR1	TGF-beta receptor type-1	133128
P36915	P36915;P36915-2	GNL1_HUMAN	GNL1	Guanine nucleotide-binding protein-like 1	179664
P36952	P36952	SPB5_HUMAN	SERPINB5	Serpin B5	2.73649e+06
P36954	P36954	RPB9_HUMAN	POLR2I	DNA-directed RNA polymerase II subunit RPB9	17957
P36955	P36955	PEDF_HUMAN	SERPINF1	Pigment epithelium-derived factor	450427
P36956;P36956-2;P36956-3;P36956-4	P36956;P36956-2;P36956-3;P36956-4	SRBP1_HUMAN	SREBF1	Sterol regulatory element-binding protein 1	59173
P36957	P36957;P36957-2	ODO2_HUMAN	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	371834
P36959	P36959	GMPR1_HUMAN	GMPR	GMP reductase 1	14385
P36959;Q9P2T1;Q9P2T1-2;Q9P2T1-3	P36959;Q9P2T1;Q9P2T1-2;Q9P2T1-3	GMPR1_HUMAN;GMPR2_HUMAN	GMPR;GMPR2	GMP reductase 1	120201
P36969;P36969-2	P36969;P36969-2	GPX4_HUMAN	GPX4	Phospholipid hydroperoxide glutathione peroxidase	176049
P37108	P37108	SRP14_HUMAN	SRP14	Signal recognition particle 14 kDa protein	199945
P37198	P37198	NUP62_HUMAN	NUP62	Nuclear pore glycoprotein p62	756098
P37235	P37235	HPCL1_HUMAN	HPCAL1	Hippocalcin-like protein 1	305836
P37268	P37268;P37268-2;P37268-3;P37268-4;P37268-5	FDFT_HUMAN	FDFT1	Squalene synthase	349566
P37275;P37275-2;P37275-3;P37275-4;P37275-5	P37275;P37275-2;P37275-3;P37275-4;P37275-5	ZEB1_HUMAN	ZEB1	Zinc finger E-box-binding homeobox 1	369518
P37287	P37287;P37287-3	PIGA_HUMAN	PIGA	Phosphatidylinositol N-acetylglucosaminyltransferase subunit A	23140
P37802;P37802-2	P37802;P37802-2	TAGL2_HUMAN	TAGLN2	Transgelin-2	2.54234e+06
P37802;P37802-2;Q9UI15	P37802;P37802-2;Q9UI15	TAGL2_HUMAN;TAGL3_HUMAN	TAGLN2;TAGLN3	Transgelin-2	411534
P37837	P37837	TALDO_HUMAN	TALDO1	Transaldolase	2.31033e+06
P38117	P38117;P38117-2	ETFB_HUMAN	ETFB	Electron transfer flavoprotein subunit beta	2.29762e+06
P38159	P38159;P38159-2	RBMX_HUMAN	RBMX	RNA-binding motif protein, X chromosome	378351
P38159;Q96E39	P38159;P38159-2;Q96E39	RBMX_HUMAN;RMXL1_HUMAN	RBMX;RBMXL1	RNA-binding motif protein, X chromosome	976672
P38398;P38398-4;P38398-7;P38398-8	P38398;P38398-4;P38398-7;P38398-8	BRCA1_HUMAN	BRCA1	Breast cancer type 1 susceptibility protein	25475
P38432	P38432	COIL_HUMAN	COIL	Coilin	85891
P38435	P38435;P38435-2	VKGC_HUMAN	GGCX	Vitamin K-dependent gamma-carboxylase	119356
P38571;P38571-2	P38571;P38571-2	LICH_HUMAN	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase	101654
P38606;P38606-2	P38606;P38606-2	VATA_HUMAN	ATP6V1A	V-type proton ATPase catalytic subunit A	283431
P38646	P38646	GRP75_HUMAN	HSPA9	Stress-70 protein, mitochondrial	4.89363e+06
P38919	P38919	IF4A3_HUMAN	EIF4A3	Eukaryotic initiation factor 4A-III	743826
P38919;P60842;Q14240;Q14240-2	Q14240;Q14240-2;P38919;P60842;P60842-2	IF4A1_HUMAN;IF4A2_HUMAN;IF4A3_HUMAN	EIF4A1;EIF4A2;EIF4A3	Eukaryotic initiation factor 4A-III	1.49015e+06
P38935	P38935	SMBP2_HUMAN	IGHMBP2	DNA-binding protein SMUBP-2	28815
P39019	P39019	RS19_HUMAN	RPS19	40S ribosomal protein S19	4.07643e+06
P39023	P39023	RL3_HUMAN	RPL3	60S ribosomal protein L3	1.57551e+06
P39060;P39060-1;P39060-2	P39060;P39060-1;P39060-2	COIA1_HUMAN	COL18A1	Collagen alpha-1(XVIII) chain	133668
P39656	P39656;P39656-2;P39656-3	OST48_HUMAN	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	995200
P39687	P39687;O43423	AN32A_HUMAN	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	1.34849e+06
P39687;Q92688;Q92688-2	P39687;Q92688;Q92688-2	AN32A_HUMAN;AN32B_HUMAN	ANP32A;ANP32B	Acidic leucine-rich nuclear phosphoprotein 32 family member A	1.33882e+06
P39748	P39748;P39748-2	FEN1_HUMAN	FEN1	Flap endonuclease 1	1.12619e+06
P39880;P39880-2;P39880-3;P39880-4	P39880;P39880-2;P39880-3;P39880-4	CUX1_HUMAN	CUX1	Homeobox protein cut-like 1	113915
P39880;P39880-2;P39880-3;P39880-4;Q13948-9	Q13948;Q13948-2;Q13948-9;Q13948-10;P39880;P39880-2;P39880-3;P39880-4;P39880-5;P39880-6;P39880-9	CASP_HUMAN;CUX1_HUMAN	CUX1	Homeobox protein cut-like 1	113915
P40121	P40121;P40121-2	CAPG_HUMAN	CAPG	Macrophage-capping protein	869047
P40123	P40123;P40123-2;P40123-3	CAP2_HUMAN	CAP2	Adenylyl cyclase-associated protein 2	72364
P40123;Q01518;Q01518-2	P40123;P40123-2;P40123-3;Q01518;Q01518-2	CAP1_HUMAN;CAP2_HUMAN	CAP1;CAP2	Adenylyl cyclase-associated protein 2	552612
P40222	P40222	TXLNA_HUMAN	TXLNA	Alpha-taxilin	401688
P40227	P40227;P40227-2	TCPZ_HUMAN	CCT6A	T-complex protein 1 subunit zeta	697357
P40227;Q92526-2	Q92526;Q92526-2;P40227;P40227-2	TCPW_HUMAN;TCPZ_HUMAN	CCT6A;CCT6B	T-complex protein 1 subunit zeta	516604
P40261	P40261	NNMT_HUMAN	NNMT	Nicotinamide N-methyltransferase	984011
P40306	P40306	PSB10_HUMAN	PSMB10	Proteasome subunit beta type-10	10042
P40337;P40337-2;P40337-3	P40337;P40337-2;P40337-3	VHL_HUMAN	VHL	von Hippel-Lindau disease tumor suppressor	16507
P40424;P40424-2;P40424-3	P40424;P40424-2;P40424-3	PBX1_HUMAN	PBX1	Pre-B-cell leukemia transcription factor 1	98545
P40424;P40424-2;P40424-3;P40425	P40426;P40426-2;P40426-5;P40424;P40424-2;P40424-3;P40425	PBX1_HUMAN;PBX2_HUMAN	PBX1;PBX2	Pre-B-cell leukemia transcription factor 1	68145
P40425	P40425	PBX2_HUMAN	PBX2	Pre-B-cell leukemia transcription factor 2	25056
P40425;Q9BYU1	P40426;P40426-2;P40426-5;Q9BYU1;P40425	PBX2_HUMAN;PBX4_HUMAN	PBX2;PBX4	Pre-B-cell leukemia transcription factor 2	28272
P40429	P40429	RL13A_HUMAN	RPL13A	60S ribosomal protein L13a	3.71678e+06
P40616;P40616-2	P40616;P40616-2	ARL1_HUMAN	ARL1	ADP-ribosylation factor-like protein 1	115763
P40692	P40692;P40692-2;P40692-3	MLH1_HUMAN	MLH1	DNA mismatch repair protein Mlh1	95288
P40763;P40763-3	P40763;P40763-3	STAT3_HUMAN	STAT3	Signal transducer and activator of transcription 3	156781
P40818	P40818;P40818-2;contaminant_UBIQUITIN11	UBP8_HUMAN	USP8	Ubiquitin carboxyl-terminal hydrolase 8	82778
P40855	P40855;P40855-5	PEX19_HUMAN	PEX19	Peroxisomal biogenesis factor 19	112611
P40925;P40925-2;P40925-3	P40925;P40925-2;P40925-3	MDHC_HUMAN	MDH1	Malate dehydrogenase, cytoplasmic	2.43959e+06
P40926	P40926;P40926-2	MDHM_HUMAN	MDH2	Malate dehydrogenase, mitochondrial	2.7569e+06
P40937;P40937-2	P40937;P40937-2	RFC5_HUMAN	RFC5	Replication factor C subunit 5	195447
P40938	P40938;P40938-2	RFC3_HUMAN	RFC3	Replication factor C subunit 3	150543
P40939	P40939	ECHA_HUMAN	HADHA	Trifunctional enzyme subunit alpha, mitochondrial	867913
P41091	P41091;Q2VIR3;Q2VIR3-2	IF2G_HUMAN	EIF2S3	Eukaryotic translation initiation factor 2 subunit 3	1.56967e+06
P41134;P41134-2	P41134;P41134-2	ID1_HUMAN	ID1	DNA-binding protein inhibitor ID-1	28899
P41162	P41162	ETV3_HUMAN	ETV3	ETS translocation variant 3	28626
P41208	P41208	CETN2_HUMAN	CETN2	Centrin-2	93280
P41214	P41214	EIF2D_HUMAN	EIF2D	Eukaryotic translation initiation factor 2D	217941
P41221;P41221-2	P41221;P41221-2	WNT5A_HUMAN	WNT5A	Protein Wnt-5a	71821
P41223;P41223-2	P41223;P41223-2	BUD31_HUMAN	BUD31	Protein BUD31 homolog	126869
