#----------------------------------------------------------------------------------
#ExpType Repetitions     KA     m1     m2    CEA     KB     m3     m4    CEB  Steps
#----------------------------------------------------------------------------------
MS1  ;             1;     -;     -;     -;     -;     -;     -;     -;     -; -

PASEF;             1; 0.636;   400;   425;    -1; 1.204;   800;    -1;    -1; 3
PASEF;             1; 0.659;   425;   450;    -1; 1.227;   825;    -1;    -1; 3
PASEF;             1; 0.683;   450;   475;    -1; 1.251;   850;    -1;    -1; 3
PASEF;             1; 0.707;   475;   500;    -1; 1.275;   875;    -1;    -1; 3
PASEF;             1; 0.730;   500;   525;    -1; 1.298;   900;    -1;    -1; 3
PASEF;             1; 0.754;   525;   550;    -1; 1.322;   925;    -1;    -1; 3
PASEF;             1; 0.778;   550;   575;    -1; 1.346;   950;    -1;    -1; 3
PASEF;             1; 0.801;   575;   600;    -1; 1.369;   975;    -1;    -1; 3
